HI,CW,AG
994,993.85,993.85
1721.6,2027.26,1473.49
178.4,181.54,178.41
1216.8,1021.5,1180.4
1988.8,2261.12,2143.08
1294,1988.52,1253.04
1169.6,1192.29,1169.59
1386.8,1217.35,1217.35
1464.4,1902.82,1902.82
2164.4,2689.96,1869.34
1041.6,1915.24,1119.27
1993.2,2551.48,2283.62
3713.6,3451.46,3451.46
3730,3415.4,3415.4
1138.8,1721.58,966.56
2306.4,2655.9,1902.26
2056.8,1970.36,1970.36
2024.8,2948.45,2075.34
2015.2,2665.36,2068.96
1312,1552.68,1548.14
585.6,581.12,581.12
3500.4,4013.36,3795.44
1767.2,1480.85,938.62
832.4,760.59,760.59
1857.2,2902.15,2175.46
2547.6,2419.96,2456.28
1840,1875.72,1621.59
1361.6,1793.26,1570.46
2501.6,3309.66,3464.02
1743.2,2056.62,2029.38
1996.8,2390.14,1837.83
3540.8,2587.6,2600.79
